source,city,listing_id,title,rooms,area_m2,floor,total_floors,price_tenge,district,address,listing_date,seller_type,url,price_per_m2,id
krisha,Астана,699413356,3-комнатная квартира · 78 м² · 3/9 этаж,3.0,78.0,3.0,9.0,380000,Есильский р-н,"Есильский р-н, Туран 43 — Сыганак",2026-03-19,owner,https://krisha.kz/a/show/699413356,4871.8,11
krisha,Астана,1009431419,1-комнатная квартира · 40 м² · 24/36 этаж,1.0,40.0,24.0,36.0,240000,Есильский р-н,"Есильский р-н, Достык 5 — ТРЦ Керуен",2026-03-19,agency,https://krisha.kz/a/show/1009431419,6000.0,12
krisha,Астана,1010591203,1-комнатная квартира · 38 м² · 2/9 этаж,1.0,38.0,2.0,9.0,190000,Есильский р-н,"Есильский р-н, Жошы хана 27",2026-03-19,owner,https://krisha.kz/a/show/1010591203,5000.0,13
krisha,Астана,1010268169,2-комнатная квартира · 65 м²,2.0,65.0,,,260000,Есильский р-н,"Есильский р-н, Кайым Мухамедханов 4в",2026-03-19,owner,https://krisha.kz/a/show/1010268169,4000.0,14
krisha,Астана,1010455099,1-комнатная квартира · 47 м² · 6/7 этаж,1.0,47.0,6.0,7.0,200000,Аль-Фараби,Аль-Фараби,2026-03-19,owner,https://krisha.kz/a/show/1010455099,4255.3,15
krisha,Астана,1010276718,1-комнатная квартира · 20 м² · 2/2 этаж,1.0,20.0,2.0,2.0,170000,Нура р-н,"Нура р-н, Манкент 7 — Возле keruen city",2026-03-19,owner,https://krisha.kz/a/show/1010276718,8500.0,16
krisha,Астана,1010557467,1-комнатная квартира · 40 м² · 5 этаж,1.0,40.0,,,250000,Нура р-н,"Нура р-н, Толе би 24",2026-03-19,agency,https://krisha.kz/a/show/1010557467,6250.0,17
krisha,Астана,687636331,1-комнатная квартира · 25 м² · 3/4 этаж,1.0,25.0,3.0,4.0,135000,Сарыарка р-н,"Сарыарка р-н, Василия Радлова 26/1 — Акан Серы, ТД Рахмет",2026-03-19,owner,https://krisha.kz/a/show/687636331,5400.0,18
krisha,Астана,1010591006,2-комнатная квартира · 48 м² · 18/20 этаж,2.0,48.0,18.0,20.0,250000,Нура р-н,"Нура р-н, Бектурова 4/1",2026-03-19,owner,https://krisha.kz/a/show/1010591006,5208.3,19
krisha,Астана,1009617665,1-комнатная квартира · 40 м² · 3/15 этаж,1.0,40.0,3.0,15.0,200000,Есильский р-н,"Есильский р-н, Кабанбай батыра 46а",2026-03-19,owner,https://krisha.kz/a/show/1009617665,5000.0,20
krisha,Астана,685262029,3-комнатная квартира · 100 м² · 7/9 этаж,3.0,100.0,7.0,9.0,450000,Есильский р-н,"Есильский р-н, мкр Комсомольский, А. Бөкейхан 28 — Ботанический сад",2026-03-19,agency,https://krisha.kz/a/show/685262029,4500.0,21
krisha,Астана,695614476,2-комнатная квартира · 65 м² · 12/15 этаж,2.0,65.0,12.0,15.0,300000,Есильский р-н,"Есильский р-н, Сарайшык 5 — Акмешит",2026-03-19,owner,https://krisha.kz/a/show/695614476,4615.4,22
krisha,Астана,1010486398,1-комнатная квартира · 34 м² · 9/9 этаж,1.0,34.0,9.0,9.0,180000,Есильский р-н,"Есильский р-н, Аль-Фараби 46/36",2026-03-19,owner,https://krisha.kz/a/show/1010486398,5294.1,23
krisha,Астана,1010333960,3-комнатная квартира · 70 м² · 5/9 этаж,3.0,70.0,5.0,9.0,350000,Есильский р-н,"Есильский р-н, Е652 22 — Кабанбай Батыра пересечение Мангилик-Ел",2026-03-19,owner,https://krisha.kz/a/show/1010333960,5000.0,24
krisha,Астана,1007976904,1-комнатная квартира · 47 м²,1.0,47.0,,,200000,Есильский р-н,"Есильский р-н, Сарайшык — Сарайшык-Акмешит",2026-03-19,owner,https://krisha.kz/a/show/1007976904,4255.3,25
krisha,Астана,1010463405,2-комнатная квартира · 50 м² · 4/12 этаж,2.0,50.0,4.0,12.0,240000,Нура р-н,"Нура р-н, Толе би 25/1",2026-03-19,owner,https://krisha.kz/a/show/1010463405,4800.0,26
krisha,Астана,1010590750,1-комнатная квартира · 35 м² · 9/9 этаж,1.0,35.0,9.0,9.0,180000,Нура р-н,"Нура р-н, Азильхана Нуршайыкова 10блок1",2026-03-19,owner,https://krisha.kz/a/show/1010590750,5142.9,27
krisha,Астана,1010590679,4-комнатная квартира · 160 м² · 4/5 этаж,4.0,160.0,4.0,5.0,1200000,Есильский р-н,"Есильский р-н, Кабанбай батыра 34/1",2026-03-19,owner,https://krisha.kz/a/show/1010590679,7500.0,28
krisha,Астана,1000539878,1-комнатная квартира · 39 м² · 9/12 этаж,1.0,39.0,9.0,12.0,220000,Нура р-н,"Нура р-н, Турана 55/7",2026-03-19,owner,https://krisha.kz/a/show/1000539878,5641.0,29
krisha,Астана,1008363974,2-комнатная квартира · 56 м²,2.0,56.0,,,345000,Есильский р-н,"Есильский р-н, Туркестан 16",2026-03-19,owner,https://krisha.kz/a/show/1008363974,6160.7,30
krisha,Астана,690290010,1-комнатная квартира · 39 м² · 10/12 этаж,1.0,39.0,10.0,12.0,300000,Тауелсиздик 56 — Шамши Калдаякова,Тауелсиздик 56 — Шамши Калдаякова,2026-03-19,owner,https://krisha.kz/a/show/690290010,7692.3,31
krisha,Астана,1008315673,2-комнатная квартира · 51 м² · 6/20 этаж,2.0,51.0,6.0,20.0,250000,Есильский р-н,"Есильский р-н, Мангилик Ел 62",2026-03-19,owner,https://krisha.kz/a/show/1008315673,4902.0,32
krisha,Астана,1010137571,2-комнатная квартира · 82 м² · 3 этаж,2.0,82.0,,,1000000,Есильский р-н,"Есильский р-н, Акмешит 1 — Абу-Даби плаза",2026-03-19,agency,https://krisha.kz/a/show/1010137571,12195.1,33
krisha,Астана,1005547347,1-комнатная квартира · 44.2 м² · 15/17 этаж,1.0,44.2,15.0,17.0,180000,Сарайшык р-н,"Сарайшык р-н, Шәмші Қалдаяқова 58/1",2026-03-19,owner,https://krisha.kz/a/show/1005547347,4072.4,34
krisha,Астана,1010224621,2-комнатная квартира · 58 м² · 16/21 этаж,2.0,58.0,16.0,21.0,220000,Алматы р-н,"Алматы р-н, Нажимеденова 10/3 — Тауелсыздык",2026-03-19,owner,https://krisha.kz/a/show/1010224621,3793.1,35
krisha,Астана,694953967,1-комнатная квартира · 39 м² · 11/12 этаж,1.0,39.0,11.0,12.0,220000,Есильский р-н,"Есильский р-н, Толе би 3/1 — Казыбек Би",2026-03-19,owner,https://krisha.kz/a/show/694953967,5641.0,36
krisha,Астана,1010469791,4-комнатная квартира · 207 м² · 7/10 этаж,4.0,207.0,7.0,10.0,900000,Есильский р-н,"Есильский р-н, мкр Шубар, Кабанбай Батыра 6/5 — Заезд со стороны Чубар",2026-03-19,owner,https://krisha.kz/a/show/1010469791,4347.8,37
krisha,Астана,1001560459,1-комнатная квартира · 25 м² · 1/1 этаж,1.0,25.0,1.0,1.0,165000,Нура р-н,"Нура р-н, Манкент 7",2026-03-19,owner,https://krisha.kz/a/show/1001560459,6600.0,38
krisha,Астана,1010496987,1-комнатная квартира · 44 м² · 3/17 этаж,1.0,44.0,3.0,17.0,280000,Есильский р-н,"Есильский р-н, Туран 52/2, 52/3 — Туран Бухар жырау",2026-03-19,owner,https://krisha.kz/a/show/1010496987,6363.6,39
krisha,Астана,1010253896,2-комнатная квартира · 70 м² · 5/10 этаж,2.0,70.0,5.0,10.0,300000,Алматы р-н,"Алматы р-н, Тауелсыздык 33/1",2026-03-19,owner,https://krisha.kz/a/show/1010253896,4285.7,40
krisha,Астана,1006471211,3-комнатная квартира · 90 м² · 15 этаж,3.0,90.0,,,650000,Сарайшык р-н,"Сарайшык р-н, Кошкарбаева 10 — Мечеть",2026-03-19,agency,https://krisha.kz/a/show/1006471211,7222.2,41
krisha,Астана,673331226,1-комнатная квартира · 36 м² · 7/9 этаж,1.0,36.0,7.0,9.0,220000,Есильский р-н,"Есильский р-н, Е-22 2 — E-51",2026-03-19,owner,https://krisha.kz/a/show/673331226,6111.1,42
krisha,Астана,1001375850,2-комнатная квартира · 47 м² · 8/9 этаж,2.0,47.0,8.0,9.0,250000,Нура р-н,"Нура р-н, Жубан Молдагалиев 5",2026-03-19,owner,https://krisha.kz/a/show/1001375850,5319.1,43
krisha,Астана,1009073917,2-комнатная квартира · 45 м² · 16/16 этаж,2.0,45.0,16.0,16.0,300000,Сарайшык р-н,"Сарайшык р-н, Райымбек батыр 2",2026-03-19,owner,https://krisha.kz/a/show/1009073917,6666.7,44
krisha,Астана,1000469294,1-комнатная квартира · 20 м² · 2/2 этаж,1.0,20.0,2.0,2.0,120000,Сарыарка р-н,"Сарыарка р-н, Переулок Петрова 6",2026-03-19,owner,https://krisha.kz/a/show/1000469294,6000.0,45
krisha,Астана,51903969,2-комнатная квартира · 65 м² · 6/15 этаж,2.0,65.0,6.0,15.0,250000,Есильский р-н,"Есильский р-н, Сауран 15/4",2026-03-19,unknown,https://krisha.kz/a/show/51903969,3846.2,46
krisha,Астана,1010589575,2-комнатная квартира · 44 м² · 4/5 этаж,2.0,44.0,4.0,5.0,220000,Сарыарка р-н,"Сарыарка р-н, Женис 77",2026-03-19,owner,https://krisha.kz/a/show/1010589575,5000.0,47
krisha,Астана,761191865,4-комнатная квартира · 139 м² · 5/7 этаж,4.0,139.0,5.0,7.0,380000,р-н Байконур,"р-н Байконур, Малика Габдулина 5",2026-03-19,owner,https://krisha.kz/a/show/761191865,2733.8,48
krisha,Астана,1010228421,2-комнатная квартира · 60 м² · 1/10 этаж,2.0,60.0,1.0,10.0,300000,Нура р-н,"Нура р-н, Казыбек би 3, 3/1, 3/2 — Сыганак пересечение толе би",2026-03-19,owner,https://krisha.kz/a/show/1010228421,5000.0,49
krisha,Астана,1010063347,2-комнатная квартира · 56 м² · 3/16 этаж,2.0,56.0,3.0,16.0,270000,Нура р-н,"Нура р-н, Мухамедханова 4в",2026-03-19,owner,https://krisha.kz/a/show/1010063347,4821.4,50
krisha,Астана,1009641826,1-комнатная квартира · 45 м²,1.0,45.0,,,200000,Есильский р-н,"Есильский р-н, Кабанбай батыра — Кабанбай батыра -Керей Жанибек хандар",2026-03-19,owner,https://krisha.kz/a/show/1009641826,4444.4,51
krisha,Астана,693832277,3-комнатная квартира · 95 м² · 6/14 этаж,3.0,95.0,6.0,14.0,450000,Нура р-н,"Нура р-н, Кабанбай батыра 9/4",2026-03-19,owner,https://krisha.kz/a/show/693832277,4736.8,52
krisha,Астана,1007992055,4-комнатная квартира · 150 м² · 6/9 этаж,4.0,150.0,6.0,9.0,950000,Есильский р-н,"Есильский р-н, Туран 5/4",2026-03-19,owner,https://krisha.kz/a/show/1007992055,6333.3,53
krisha,Астана,1005334252,1-комнатная квартира · 38 м² · 12/20 этаж,1.0,38.0,12.0,20.0,250000,Нура р-н,"Нура р-н, Туран 55/12",2026-03-19,owner,https://krisha.kz/a/show/1005334252,6578.9,54
krisha,Астана,691674351,4-комнатная квартира · 175 м² · 5/7 этаж,4.0,175.0,5.0,7.0,800000,Есильский р-н,"Есильский р-н, Кабанбай батыра 13",2026-03-19,owner,https://krisha.kz/a/show/691674351,4571.4,55
krisha,Астана,1009582328,1-комнатная квартира · 34 м² · 2/12 этаж,1.0,34.0,2.0,12.0,200000,Сарыарка р-н,"Сарыарка р-н, Чингиза Айтматова 77",2026-03-19,owner,https://krisha.kz/a/show/1009582328,5882.4,56
krisha,Астана,1009935394,2-комнатная квартира · 68 м² · 8/12 этаж,2.0,68.0,8.0,12.0,300000,Есильский р-н,"Есильский р-н, Бокейхана",2026-03-19,owner,https://krisha.kz/a/show/1009935394,4411.8,57
krisha,Астана,1003475027,4-комнатная квартира · 90 м² · 2/12 этаж,4.0,90.0,2.0,12.0,700000,Есильский р-н,"Есильский р-н, Туран 57 г — №24",2026-03-19,owner,https://krisha.kz/a/show/1003475027,7777.8,58
krisha,Астана,1006588720,2-комнатная квартира · 44 м²,2.0,44.0,,,350000,Есильский р-н,"Есильский р-н, Сыганак 52",2026-03-19,owner,https://krisha.kz/a/show/1006588720,7954.5,59
krisha,Астана,1009638374,2-комнатная квартира · 65.5 м² · 2/9 этаж,2.0,65.5,2.0,9.0,290000,Сарыарка р-н,"Сарыарка р-н, Кумисбекова 9/1 — Кумисбекова - Сейфуллина",2026-03-19,owner,https://krisha.kz/a/show/1009638374,4427.5,60
krisha,Астана,1010044574,1-комнатная квартира · 40 м² · 5/7 этаж,1.0,40.0,5.0,7.0,180000,Нура р-н,"Нура р-н, Чингиз Айтматов 29а — Сыганак/Айтматова",2026-03-19,owner,https://krisha.kz/a/show/1010044574,4500.0,61
krisha,Астана,1002486931,1-комнатная квартира · 22 м² · 2/5 этаж,1.0,22.0,2.0,5.0,120000,Алматы р-н,"Алматы р-н, Манаса 20/1 — Абылайхана",2026-03-19,agency,https://krisha.kz/a/show/1002486931,5454.5,62
krisha,Астана,698958179,2-комнатная квартира · 45 м² · 5/5 этаж,2.0,45.0,5.0,5.0,230000,Сарыарка р-н,"Сарыарка р-н, Жеңіс 20",2026-03-19,owner,https://krisha.kz/a/show/698958179,5111.1,63
krisha,Астана,699779117,1-комнатная квартира · 45 м² · 9/10 этаж,1.0,45.0,9.0,10.0,180000,Есильский р-н,"Есильский р-н, Улы дала мост Набережка Е-810 ул 2/21 — Нажимеденова",2026-03-19,owner,https://krisha.kz/a/show/699779117,4000.0,64
krisha,Астана,692204954,1-комнатная квартира · 40 м² · 6/9 этаж,1.0,40.0,6.0,9.0,230000,Есильский р-н,"Есильский р-н, Ильяса Омарова",2026-03-19,owner,https://krisha.kz/a/show/692204954,5750.0,65
krisha,Астана,1004659160,4-комнатная квартира · 105 м² · 2/7 этаж,4.0,105.0,2.0,7.0,650000,Есильский р-н,"Есильский р-н, Алихан Бокейхан 27/4",2026-03-19,owner,https://krisha.kz/a/show/1004659160,6190.5,66
krisha,Астана,1007584699,1-комнатная квартира · 38 м² · 2/9 этаж,1.0,38.0,2.0,9.0,200000,Есильский р-н,"Есильский р-н, Туран 42 — Магнум",2026-03-19,owner,https://krisha.kz/a/show/1007584699,5263.2,67
krisha,Астана,1009160973,1-комнатная квартира · 42.5 м² · 6/9 этаж,1.0,42.5,6.0,9.0,265000,Есильский р-н,"Есильский р-н, Сызганова 1/1",2026-03-19,owner,https://krisha.kz/a/show/1009160973,6235.3,68
krisha,Астана,1010588528,2-комнатная квартира · 63 м² · 13/22 этаж,2.0,63.0,13.0,22.0,240000,Нура р-н,"Нура р-н, Ш. Айтматова 53 — Шоссе Коргалжын",2026-03-19,owner,https://krisha.kz/a/show/1010588528,3809.5,69
krisha,Астана,1010421658,2-комнатная квартира · 44 м² · 7/9 этаж,2.0,44.0,7.0,9.0,280000,Нура р-н,"Нура р-н, Туран 57/7",2026-03-19,owner,https://krisha.kz/a/show/1010421658,6363.6,70
krisha,Астана,1010338726,2-комнатная квартира · 44 м² · 12/14 этаж,2.0,44.0,12.0,14.0,250000,Есильский р-н,"Есильский р-н, Бокейхана",2026-03-19,owner,https://krisha.kz/a/show/1010338726,5681.8,71
krisha,Астана,1009668984,1-комнатная квартира · 42 м² · 10 этаж,1.0,42.0,,,200000,Есильский р-н,"Есильский р-н, Бектурова 1/2",2026-03-19,owner,https://krisha.kz/a/show/1009668984,4761.9,72
krisha,Астана,1008017183,1-комнатная квартира · 43.5 м² · 8/12 этаж,1.0,43.5,8.0,12.0,170000,Алматы р-н,"Алматы р-н, Кошкарбаева — Жумабаева",2026-03-19,owner,https://krisha.kz/a/show/1008017183,3908.0,73
krisha,Астана,1010349072,4-комнатная квартира · 166 м² · 4/6 этаж,4.0,166.0,4.0,6.0,900000,Алматы р-н,"Алматы р-н, Шарля де Голля 5 — Аман",2026-03-19,agency,https://krisha.kz/a/show/1010349072,5421.7,74
krisha,Астана,1010021328,2-комнатная квартира · 45.6 м² · 3/11 этаж,2.0,45.6,3.0,11.0,250000,Нура р-н,"Нура р-н, Коргалжын 37",2026-03-19,owner,https://krisha.kz/a/show/1010021328,5482.5,75
krisha,Астана,1002126150,3-комнатная квартира · 78 м² · 10/15 этаж,3.0,78.0,10.0,15.0,550000,Алматы р-н,"Алматы р-н, Кошкарбаева 13 — Нұрода школа лицей",2026-03-19,owner,https://krisha.kz/a/show/1002126150,7051.3,76
krisha,Астана,1008046006,1-комнатная квартира · 33 м² · 2/5 этаж,1.0,33.0,2.0,5.0,180000,Алматы р-н,"Алматы р-н, Жумабаева 5/1 — 22 школа",2026-03-19,owner,https://krisha.kz/a/show/1008046006,5454.5,77
krisha,Астана,1010252516,4-комнатная квартира · 148 м² · 10/12 этаж,4.0,148.0,10.0,12.0,1500000,Тауелсиздик 56/2,Тауелсиздик 56/2,2026-03-19,agency,https://krisha.kz/a/show/1010252516,10135.1,78
krisha,Астана,1009639286,2-комнатная квартира · 48 м² · 6 этаж,2.0,48.0,,,250000,Нура р-н,"Нура р-н, Толе би 25/1",2026-03-19,owner,https://krisha.kz/a/show/1009639286,5208.3,79
krisha,Астана,1008489750,3-комнатная квартира · 88 м² · 5/7 этаж,3.0,88.0,5.0,7.0,350000,Есильский р-н,"Есильский р-н, Мәңгілік Ел 48 — Улы Дала",2026-03-19,owner,https://krisha.kz/a/show/1008489750,3977.3,80
krisha,Астана,1007150930,3-комнатная квартира · 112 м² · 4/18 этаж,3.0,112.0,4.0,18.0,600000,Есильский р-н,"Есильский р-н, Туркестан 2",2026-03-19,owner,https://krisha.kz/a/show/1007150930,5357.1,81
krisha,Астана,1010202775,3-комнатная квартира · 130 м² · 9 этаж,3.0,130.0,,,900000,Есильский р-н,"Есильский р-н, Сарайшык 2 — Кунаева",2026-03-19,agency,https://krisha.kz/a/show/1010202775,6923.1,82
krisha,Астана,1007010263,3-комнатная квартира · 140 м² · 7/9 этаж,3.0,140.0,7.0,9.0,500000,Нура р-н,"Нура р-н, Умай Ана 14/4 — Университет Kazguu",2026-03-19,owner,https://krisha.kz/a/show/1007010263,3571.4,83
krisha,Астана,1009574130,1-комнатная квартира · 33 м² · 2/16 этаж,1.0,33.0,2.0,16.0,165000,Сарыарка р-н,"Сарыарка р-н, Н. Тлендиева 52",2026-03-19,owner,https://krisha.kz/a/show/1009574130,5000.0,84
krisha,Астана,1010525823,3-комнатная квартира · 80 м² · 5/12 этаж,3.0,80.0,5.0,12.0,420000,Есильский р-н,"Есильский р-н, Туран — Пересечение улицы Туран и Бухар жырау",2026-03-19,owner,https://krisha.kz/a/show/1010525823,5250.0,85
krisha,Астана,1010039861,2-комнатная квартира · 46 м² · 4/5 этаж,2.0,46.0,4.0,5.0,250000,Алматы р-н,"Алматы р-н, Майлина 3 — Тауелсыздык/ Астана Молл",2026-03-19,owner,https://krisha.kz/a/show/1010039861,5434.8,86
krisha,Астана,760892093,1-комнатная квартира · 39 м² · 8/12 этаж,1.0,39.0,8.0,12.0,180000,Нура р-н,"Нура р-н, Казыбек би 35",2026-03-19,agency,https://krisha.kz/a/show/760892093,4615.4,87
krisha,Астана,1009128495,1-комнатная квартира · 30 м² · 2/5 этаж,1.0,30.0,2.0,5.0,200000,Абая 101 — Циолковского,Абая 101 — Циолковского,2026-03-19,owner,https://krisha.kz/a/show/1009128495,6666.7,88
krisha,Астана,1004962138,1-комнатная квартира · 38 м² · 9/10 этаж,1.0,38.0,9.0,10.0,220000,Нура р-н,"Нура р-н, Толе би 51",2026-03-19,owner,https://krisha.kz/a/show/1004962138,5789.5,89
krisha,Астана,1010493679,2-комнатная квартира · 47 м² · 3/12 этаж,2.0,47.0,3.0,12.0,280000,Сарайшык р-н,"Сарайшык р-н, Райымбек батыр 2 — Тауелсіздік",2026-03-19,owner,https://krisha.kz/a/show/1010493679,5957.4,90
krisha,Астана,1010162984,2-комнатная квартира · 120 м² · 20/25 этаж,2.0,120.0,20.0,25.0,4250000,Есильский р-н,"Есильский р-н, Достык 16 — “Apartment for diplomats / expats”",2026-03-19,agency,https://krisha.kz/a/show/1010162984,35416.7,91
krisha,Астана,1000673856,2-комнатная квартира · 80 м² · 8/23 этаж,2.0,80.0,8.0,23.0,320000,Алматы р-н,"Алматы р-н, Кошкарбаева 32/1",2026-03-19,owner,https://krisha.kz/a/show/1000673856,4000.0,92
krisha,Астана,1010587587,1-комнатная квартира · 34 м² · 9/9 этаж,1.0,34.0,9.0,9.0,200000,Есильский р-н,"Есильский р-н, Улы Дала 46",2026-03-19,owner,https://krisha.kz/a/show/1010587587,5882.4,93
krisha,Астана,1010447583,2-комнатная квартира · 37 м² · 2/3 этаж,2.0,37.0,2.0,3.0,180000,Нура р-н,"Нура р-н, мкр Уркер, Мкр Уркер, ул. Нуркена Абдирова 54 — Достоевского",2026-03-19,owner,https://krisha.kz/a/show/1010447583,4864.9,94
krisha,Астана,1010587453,1-комнатная квартира · 33 м² · 7/9 этаж,1.0,33.0,7.0,9.0,200000,Есильский р-н,"Есильский р-н, E-669 13",2026-03-19,owner,https://krisha.kz/a/show/1010587453,6060.6,95
krisha,Астана,679439710,1-комнатная квартира · 40.5 м² · 10/17 этаж,1.0,40.5,10.0,17.0,220000,Есильский р-н,"Есильский р-н, Әнет баба 7 — За Хан-Шатыром.",2026-03-19,owner,https://krisha.kz/a/show/679439710,5432.1,96
krisha,Астана,1007812886,1-комнатная квартира · 40 м² · 10/18 этаж,1.0,40.0,10.0,18.0,180000,Сарайшык р-н,"Сарайшык р-н, Шамши Калдаяков 58/2 — Нурлы Жол Вокзал",2026-03-19,agency,https://krisha.kz/a/show/1007812886,4500.0,97
krisha,Астана,760632169,2-комнатная квартира · 50 м² · 8/16 этаж,2.0,50.0,8.0,16.0,260000,Есильский р-н,"Есильский р-н, Алиева 4 — Бухар жырау",2026-03-19,owner,https://krisha.kz/a/show/760632169,5200.0,98
krisha,Астана,1010074214,1-комнатная квартира · 40 м²,1.0,40.0,,,190000,Нура р-н,"Нура р-н, Жубан Молдагалиев 10",2026-03-19,owner,https://krisha.kz/a/show/1010074214,4750.0,99
krisha,Астана,1010312130,1-комнатная квартира · 36 м² · 3/9 этаж,1.0,36.0,3.0,9.0,200000,Сарыарка р-н,"Сарыарка р-н, Кумисбекова — Кенесары",2026-03-19,owner,https://krisha.kz/a/show/1010312130,5555.6,100
krisha,Астана,1007574338,3-комнатная квартира · 60 м² · 1/3 этаж,3.0,60.0,1.0,3.0,180000,Нура р-н,"Нура р-н, мкр Уркер, ул. Нуркена Абдирова 54 — Достоевского",2026-03-19,owner,https://krisha.kz/a/show/1007574338,3000.0,101
krisha,Астана,1010154776,3-комнатная квартира · 76 м²,3.0,76.0,,,200000,Алматы р-н,"Алматы р-н, Шамши Калдаяков 61",2026-03-19,agency,https://krisha.kz/a/show/1010154776,2631.6,102
krisha,Астана,692240409,2-комнатная квартира · 46 м² · 3/9 этаж,2.0,46.0,3.0,9.0,300000,Есильский р-н,"Есильский р-н, Туран 55/6 — Т4",2026-03-19,owner,https://krisha.kz/a/show/692240409,6521.7,103
krisha,Астана,1009190685,3-комнатная квартира · 110 м² · 6/6 этаж,3.0,110.0,6.0,6.0,450000,Нура р-н,"Нура р-н, Максут Нарикбаев 5",2026-03-19,owner,https://krisha.kz/a/show/1009190685,4090.9,104
krisha,Астана,1007592908,1-комнатная квартира · 40 м² · 9/9 этаж,1.0,40.0,9.0,9.0,220000,Есильский р-н,"Есильский р-н, мкр Пригородный, Т.Рыскулова 16/4 Мод конфорт 3 — Хусейн бен Талал",2026-03-19,owner,https://krisha.kz/a/show/1007592908,5500.0,105
krisha,Астана,1004561880,1-комнатная квартира · 48 м² · 9/18 этаж,1.0,48.0,9.0,18.0,250000,Есильский р-н,"Есильский р-н, Мәңгілік Ел 53 — Улы Дала",2026-03-19,owner,https://krisha.kz/a/show/1004561880,5208.3,106
krisha,Астана,1002167412,1-комнатная квартира · 30 м² · 2/9 этаж,1.0,30.0,2.0,9.0,190000,Есильский р-н,"Есильский р-н, Аль-Фараби 30 — Улы Дала",2026-03-19,owner,https://krisha.kz/a/show/1002167412,6333.3,107
krisha,Астана,1005608725,1-комнатная квартира · 35 м² · 4/12 этаж,1.0,35.0,4.0,12.0,200000,Сарыарка р-н,"Сарыарка р-н, Чингиза Айтматова 77/8",2026-03-19,owner,https://krisha.kz/a/show/1005608725,5714.3,108
krisha,Астана,1009742166,2-комнатная квартира · 65 м²,2.0,65.0,,,550000,Нура р-н,"Нура р-н, Кабанбай батыр 5/3 — Цирк",2026-03-19,owner,https://krisha.kz/a/show/1009742166,8461.5,109
krisha,Астана,1010569433,1-комнатная квартира · 28 м² · 6/6 этаж,1.0,28.0,6.0,6.0,130000,Сарыарка р-н,"Сарыарка р-н, Тлендиева 50/2 — На против магнума",2026-03-19,owner,https://krisha.kz/a/show/1010569433,4642.9,110
krisha,Астана,1010586387,1-комнатная квартира · 45 м² · 7/9 этаж,1.0,45.0,7.0,9.0,200000,Есильский р-н,"Есильский р-н, Бокейхана 16/1",2026-03-19,owner,https://krisha.kz/a/show/1010586387,4444.4,111
krisha,Астана,1009284448,2-комнатная квартира · 70 м² · 5 этаж,2.0,70.0,,,250000,Нура р-н,"Нура р-н, Сыганак 14, 16, 18,  8, 10, 12, 2, 2/1, 11, 15",2026-03-19,agency,https://krisha.kz/a/show/1009284448,3571.4,112
